"CAND_ID","CAND_ELECTION_YR","FEC_ELECTION_YR","CMTE_ID","CMTE_TP","CMTE_DSGN","LINKAGE_ID","robin_id","display_name","source","target","type","id","dataset","dataset_id","name"
"C00713602","2019","2020","C00712851","X","U","228963","1583206034069707928","C00713602","C00713602","C00712851",,"228963","fec","228963","C00713602"
"H0AK00105","2020","2020","C00607515","H","P","229250","1583206034071393180","H0AK00105","H0AK00105","C00607515",,"229250","fec","229250","H0AK00105"
"H0AL01055","2020","2020","C00697789","H","P","226125","1583206034072598938","H0AL01055","H0AL01055","C00697789",,"226125","fec","226125","H0AL01055"
"H0AL01063","2020","2020","C00701557","H","P","227053","1583206034072130518","H0AL01063","H0AL01063","C00701557",,"227053","fec","227053","H0AL01063"
"H0AL01071","2020","2020","C00701409","H","P","227054","1583206034072146294","H0AL01071","H0AL01071","C00701409",,"227054","fec","227054","H0AL01071"
"H0AL01089","2020","2020","C00703066","H","P","227266","1583206034072693913","H0AL01089","H0AL01089","C00703066",,"227266","fec","227266","H0AL01089"
"H0AL01097","2020","2020","C00708867","H","P","228081","1583206034072102909","H0AL01097","H0AL01097","C00708867",,"228081","fec","228081","H0AL01097"
"H0AL01105","2020","2020","C00710947","H","P","228368","1583206034073959930","H0AL01105","H0AL01105","C00710947",,"228368","fec","228368","H0AL01105"
"H0AL01113","2020","2020","C00719351","H","P","229537","1583206034073287703","H0AL01113","H0AL01113","C00719351",,"229537","fec","229537","H0AL01113"
"H0AL01121","2020","2020","C00722512","H","P","230000","1583206034073367391","H0AL01121","H0AL01121","C00722512",,"230000","fec","230000","H0AL01121"
"H0AL01139","2020","2020","C00725069","H","P","230364","1583206034073526741","H0AL01139","H0AL01139","C00725069",,"230364","fec","230364","H0AL01139"
"H0AL02087","2020","2020","C00493783","H","J","222650","1583206034073204798","H0AL02087","H0AL02087","C00493783",,"222650","fec","222650","H0AL02087"
"H0AL02087","2020","2020","C00462143","H","P","222607","1583206034073271466","H0AL02087","H0AL02087","C00462143",,"222607","fec","222607","H0AL02087"
"H0AL02137","2020","2020","C00714337","H","P","228842","1583206034073323697","H0AL02137","H0AL02137","C00714337",,"228842","fec","228842","H0AL02137"
"H0AL02145","2020","2020","C00715698","H","P","228996","1583206034074965430","H0AL02145","H0AL02145","C00715698",,"228996","fec","228996","H0AL02145"
"H0AL02152","2020","2020","C00718411","H","P","229365","1583206034074673609","H0AL02152","H0AL02152","C00718411",,"229365","fec","229365","H0AL02152"
"H0AL02160","2020","2020","C00723478","H","P","230174","1583206034074313581","H0AL02160","H0AL02160","C00723478",,"230174","fec","230174","H0AL02160"
"H0AL02178","2020","2020","C00723759","H","P","230218","1583206034074662922","H0AL02178","H0AL02178","C00723759",,"230218","fec","230218","H0AL02178"
"H0AL02194","2020","2020","C00726109","H","P","230487","158320603407485501","H0AL02194","H0AL02194","C00726109",,"230487","fec","230487","H0AL02194"
"H0AL02202","2020","2020","C00728873","H","P","230831","1583206034074982200","H0AL02202","H0AL02202","C00728873",,"230831","fec","230831","H0AL02202"
"H0AL03192","2020","2020","C00681452","H","P","225608","1583206034074686051","H0AL03192","H0AL03192","C00681452",,"225608","fec","225608","H0AL03192"
"H0AL05049","2008","2020","C00239038","N","U","222371","1583206034075836690","H0AL05049","H0AL05049","C00239038",,"222371","fec","222371","H0AL05049"
"H0AL05163","2020","2020","C00464149","H","P","222553","1583206034075411747","H0AL05163","H0AL05163","C00464149",,"222553","fec","222553","H0AL05163"
"H0AL05205","2020","2020","C00701375","H","P","227010","1583206034075307733","H0AL05205","H0AL05205","C00701375",,"227010","fec","227010","H0AL05205"
"H0AL06104","2020","2020","C00681213","H","P","225022","1583206034075585836","H0AL06104","H0AL06104","C00681213",,"225022","fec","225022","H0AL06104"
"H0AL06112","2020","2020","C00696765","H","P","225906","1583206034076872785","H0AL06112","H0AL06112","C00696765",,"225906","fec","225906","H0AL06112"
"H0AL07086","2020","2020","C00458976","H","P","222443","1583206034076857857","H0AL07086","H0AL07086","C00458976",,"222443","fec","222443","H0AL07086"
"H0AL07193","2020","2020","C00723601","H","P","230175","1583206034076232001","H0AL07193","H0AL07193","C00723601",,"230175","fec","230175","H0AL07193"
"H0AR01083","2020","2020","C00462374","H","P","222608","158320603407698186","H0AR01083","H0AR01083","C00462374",,"222608","fec","222608","H0AR01083"
"H0AR01083","2020","2020","C00493783","H","J","222649","1583206034079214224","H0AR01083","H0AR01083","C00493783",,"222649","fec","222649","H0AR01083"
"H0AR01109","2010","2020","C00475384","H","P","222689","1583206034080714447","H0AR01109","H0AR01109","C00475384",,"222689","fec","222689","H0AR01109"
"H0AR01125","2010","2020","C00480905","H","P","222687","1583206034080758835","H0AR01125","H0AR01125","C00480905",,"222687","fec","222687","H0AR01125"
"H0AR02198","2020","2020","C00711226","H","P","228442","1583206034080371419","H0AR02198","H0AR02198","C00711226",,"228442","fec","228442","H0AR02198"
"H0AR02206","2020","2020","C00726943","H","P","230554","1583206034080885075","H0AR02206","H0AR02206","C00726943",,"230554","fec","230554","H0AR02206"
"H0AR03030","2010","2020","C00468033","H","P","222574","1583206034080700354","H0AR03030","H0AR03030","C00468033",,"222574","fec","222574","H0AR03030"
"H0AR03055","2020","2020","C00477745","H","P","222675","1583206034080270218","H0AR03055","H0AR03055","C00477745",,"222675","fec","222675","H0AR03055"
"H0AR03055","2020","2020","C00497149","N","J","222804","1583206034080274787","H0AR03055","H0AR03055","C00497149",,"222804","fec","222804","H0AR03055"
"H0AR03105","2020","2020","C00709667","H","P","228909","1583206034080339711","H0AR03105","H0AR03105","C00709667",,"228909","fec","228909","H0AR03105"
"H0AR04087","2020","2020","C00717439","H","P","229270","1583206034080205173","H0AR04087","H0AR04087","C00717439",,"229270","fec","229270","H0AR04087"
"H0AZ01259","2020","2020","C00461806","H","P","222597","1583206034081975368","H0AZ01259","H0AZ01259","C00461806",,"222597","fec","222597","H0AZ01259"
"H0AZ01358","2020","2020","C00694091","H","P","225629","1583206034081310583","H0AZ01358","H0AZ01358","C00694091",,"225629","fec","225629","H0AZ01358"
