"CMTE_ID","CMTE_NM","TRES_NM","CMTE_ST1","CMTE_ST2","CMTE_CITY","CMTE_ST","CMTE_ZIP","CMTE_DSGN","CMTE_TP","CMTE_PTY_AFFILIATION","CMTE_FILING_FREQ","ORG_TP","CONNECTED_ORG_NM","CAND_ID","robin_id","display_name","group","type","id","dataset","dataset_id"
"C00000059","HALLMARK CARDS PAC","SARAH MOE","2501 MCGEE","MD #500","KANSAS CITY","MO","64108","U","Q","UNK","M","C","","","1583200173245851809","HALLMARK CARDS PAC","UNK","Committee","C00000059","fec","C00000059"
"C00000422","AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","WALKER, KEVIN MR.","25 MASSACHUSETTS AVE, NW","SUITE 600","WASHINGTON","DC","200017400","B","Q","","M","M","DELAWARE MEDICAL PAC","","1583200173246568974","AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","","Committee","C00000422","fec","C00000422"
"C00000489","D R I V E POLITICAL FUND CHAPTER 886","JERRY SIMS JR","3528 W RENO","","OKLAHOMA CITY","OK","73107","U","N","","Q","L","","","1583200173247846978","D R I V E POLITICAL FUND CHAPTER 886","","Committee","C00000489","fec","C00000489"
"C00000547","KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE","JERRY SLAUGHTER","623 SW 10TH AVE","","TOPEKA","KS","666121627","U","Q","UNK","Q","M","KANSAS MEDICAL SOCIETY","","1583200173247654261","KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE","UNK","Committee","C00000547","fec","C00000547"
"C00000638","INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","ACHENBACH, GRANT MR.","322 CANAL WALK, CANAL LEVEL","","INDIANAPOLIS","IN","46202","U","Q","","T","M","","","1583200173248439353","INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","","Committee","C00000638","fec","C00000638"
"C00000729","AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE","BARNES, BRAD W DR.","1111 14TH STREET, NW","SUITE 1100","WASHINGTON","DC","200055627","B","Q","UNK","M","M","INDIANA DENTAL PAC","","158320017324815105","AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE","UNK","Committee","C00000729","fec","C00000729"
"C00000885","INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE","GALIS, GEORGE","7234 PARKWAY DRIVE","","HANOVER","MD","21076","B","Q","UNK","M","L","INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES","","1583200173248876864","INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE","UNK","Committee","C00000885","fec","C00000885"
"C00000901","BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)","RAMAGE, EILEEN","1201 15TH STREET, NW","","WASHINGTON","DC","20005","B","Q","UNK","M","T","NATIONAL ASSOCIATION OF HOME BUILDERS","","1583200173248875988","BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)","UNK","Committee","C00000901","fec","C00000901"
"C00000935","DCCC","GUINN, LUCINDA","430 SOUTH CAPITOL STREET, SE","2ND FLOOR","WASHINGTON","DC","200034024","U","Y","DEM","M","","","","1583200173249172022","DCCC","DEM","Committee","C00000935","fec","C00000935"
"C00000984","UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)","HEINER, BRANDON","601 NEW JERSEY AVE NW","STE 600","WASHINGTON","DC","20001","B","Q","UNK","M","T","UNITED STATES TELECOM ASSOCIATION","","1583200173249316826","UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)","UNK","Committee","C00000984","fec","C00000984"
"C00001016","CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS","CAPELLI, MICHAEL","101 CONSTIUTION AVENUE, NW","10TH FLOOR WEST","WASHINGTON","DC","20001","B","Q","NNE","M","L","UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA","","1583200173249740503","CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS","NNE","Committee","C00001016","fec","C00001016"
